model_name,model_slug,family,recipe,severity,n,accuracy,mean_confidence,relative_accuracy_drop
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_11,level_3,500,0.222,0.37319968864321706,0.12799999999999997
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_11,level_4,500,0.218,0.3680821290910244,0.13199999999999998
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_12,level_1,499,0.1963927855711423,0.3347845951726059,0.1536072144288577
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_12,level_2,500,0.198,0.32528700929880144,0.15199999999999997
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_12,level_3,500,0.168,0.318954331189394,0.18199999999999997
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_12,level_4,500,0.128,0.33063132797181605,0.22199999999999998
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_12,level_5,500,0.09,0.2951436529457569,0.26
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_13,level_1,500,0.204,0.39030373108386995,0.146
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_13,level_2,500,0.136,0.3466681603416801,0.21399999999999997
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_13,level_3,500,0.112,0.32377334040403366,0.238
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_13,level_4,500,0.078,0.31584650960564614,0.27199999999999996
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_13,level_5,500,0.068,0.33274543936550616,0.282
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_14,level_1,500,0.068,0.20366721053421497,0.282
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_14,level_2,500,0.024,0.1341897336319089,0.32599999999999996
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_14,level_3,500,0.012,0.20609378701448441,0.33799999999999997
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_14,level_4,500,0.012,0.20793365828692914,0.33799999999999997
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_14,level_5,500,0.01,0.19634294831752777,0.33999999999999997
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_15,level_1,500,0.166,0.35967071394622324,0.18399999999999997
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_15,level_2,500,0.162,0.3685885144621134,0.18799999999999997
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_15,level_3,500,0.128,0.3672373480126262,0.22199999999999998
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_15,level_4,500,0.128,0.3570973968729377,0.22199999999999998
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_15,level_5,500,0.122,0.3449710269495845,0.22799999999999998
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_16,level_1,500,0.146,0.35802735379338263,0.204
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_16,level_2,500,0.106,0.32023956145346166,0.244
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_16,level_3,500,0.056,0.2875926621854305,0.294
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_16,level_4,500,0.028,0.2541220678091049,0.32199999999999995
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_16,level_5,500,0.016,0.23510963858664036,0.33399999999999996
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_17,level_1,500,0.112,0.3344154953211546,0.238
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_17,level_2,500,0.096,0.2820849375873804,0.254
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_17,level_3,500,0.092,0.24573663567006587,0.258
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_17,level_4,500,0.07,0.233124402821064,0.27999999999999997
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_17,level_5,500,0.048,0.20328372918069362,0.302
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_18,level_1,500,0.112,0.3086503601819277,0.238
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_18,level_2,500,0.062,0.27346058551967145,0.288
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_18,level_3,500,0.024,0.264834694981575,0.32599999999999996
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_18,level_4,500,0.008,0.3187913933545351,0.34199999999999997
CLIP ViT-B/32,clip_vit_b32,native_cure_or,native_challenge_type_18,level_5,500,0.01,0.418802252009511,0.33999999999999997
SigLIP Base P16 224,siglip_base_p16_224,clean,clean,clean,500,0.012,0.10662761832773686,0.0
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_02,level_1,500,0.01,0.11001395096629858,0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_02,level_2,500,0.01,0.11061503161489963,0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_02,level_3,500,0.008,0.10999504394084215,0.004
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_02,level_4,500,0.012,0.10952077823877335,0.0
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_03,level_1,500,0.01,0.09633980057388544,0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_03,level_2,500,0.01,0.09823515155911446,0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_03,level_3,500,0.006,0.10094647250324487,0.006
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_03,level_4,500,0.006,0.10352155625075102,0.006
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_03,level_5,500,0.006,0.09377373590320348,0.006
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_04,level_1,500,0.014,0.11185917182266712,-0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_04,level_2,500,0.008,0.10526578794419765,0.004
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_04,level_3,500,0.016,0.10123651856929064,-0.004
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_04,level_4,500,0.008,0.09973745507746935,0.004
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_04,level_5,500,0.006,0.0959911762997508,0.006
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_05,level_1,500,0.012,0.08059257891774177,0.0
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_05,level_2,500,0.012,0.08670444744825363,0.0
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_05,level_3,500,0.01,0.08239806459844112,0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_05,level_4,500,0.008,0.08962265807390213,0.004
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_05,level_5,500,0.01,0.10373511135578156,0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_06,level_1,500,0.01,0.11277182894200087,0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_06,level_2,500,0.014,0.1072304856851697,-0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_06,level_3,500,0.01,0.10682504147291183,0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_06,level_4,500,0.01,0.10693798141926528,0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_06,level_5,500,0.01,0.10905089565366506,0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_07,level_1,500,0.01,0.09388785031437874,0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_07,level_2,500,0.012,0.09254217255115509,0.0
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_07,level_3,500,0.012,0.10065804346650839,0.0
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_07,level_4,500,0.01,0.11706856086105108,0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_07,level_5,500,0.008,0.14683086062967776,0.004
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_08,level_1,500,0.018,0.1137859668508172,-0.005999999999999998
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_08,level_2,500,0.018,0.10379720195382834,-0.005999999999999998
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_08,level_3,500,0.018,0.09558583315461874,-0.005999999999999998
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_08,level_4,500,0.016,0.0972352673485875,-0.004
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_08,level_5,500,0.012,0.09976447023451328,0.0
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_09,level_1,500,0.008,0.09830165465921163,0.004
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_09,level_2,500,0.016,0.08692527620494366,-0.004
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_09,level_3,500,0.014,0.07667818117886782,-0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_09,level_4,500,0.002,0.07671619198471308,0.01
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_09,level_5,500,0.01,0.06728287503868341,0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_11,level_1,500,0.01,0.11048429185897111,0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_11,level_2,500,0.008,0.11093618053197861,0.004
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_11,level_3,500,0.008,0.11049880491942167,0.004
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_11,level_4,500,0.006,0.10702953608334065,0.006
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_12,level_1,499,0.004008016032064128,0.10734804536781474,0.007991983967935871
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_12,level_2,500,0.006,0.1093760872632265,0.006
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_12,level_3,500,0.006,0.11318186767399312,0.006
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_12,level_4,500,0.008,0.1132366998642683,0.004
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_12,level_5,500,0.008,0.10084186271578073,0.004
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_13,level_1,500,0.014,0.11339732313156128,-0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_13,level_2,500,0.018,0.10054209456592798,-0.005999999999999998
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_13,level_3,500,0.018,0.09893065936863422,-0.005999999999999998
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_13,level_4,500,0.008,0.09757025073468685,0.004
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_13,level_5,500,0.008,0.09857734291255474,0.004
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_14,level_1,500,0.008,0.08289364784955978,0.004
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_14,level_2,500,0.004,0.09117907392978668,0.008
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_14,level_3,500,0.004,0.09862172579020262,0.008
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_14,level_4,500,0.01,0.09352052587270737,0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_14,level_5,500,0.01,0.09166129814088345,0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_15,level_1,500,0.012,0.11003146671503783,0.0
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_15,level_2,500,0.008,0.11421348651498556,0.004
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_15,level_3,500,0.014,0.1184476532265544,-0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_15,level_4,500,0.016,0.11829053051769733,-0.004
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_15,level_5,500,0.008,0.11331781291216612,0.004
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_16,level_1,500,0.012,0.12485322240740061,0.0
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_16,level_2,500,0.01,0.16062675987184047,0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_16,level_3,500,0.012,0.20089137102663518,0.0
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_16,level_4,500,0.014,0.2452663008645177,-0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_16,level_5,500,0.008,0.26283163660764697,0.004
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_17,level_1,500,0.006,0.12115514130145312,0.006
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_17,level_2,500,0.014,0.11251720117032528,-0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_17,level_3,500,0.018,0.10928242260962724,-0.005999999999999998
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_17,level_4,500,0.014,0.10825804591923952,-0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_17,level_5,500,0.008,0.10699710676074028,0.004
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_18,level_1,500,0.01,0.10910293001681566,0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_18,level_2,500,0.01,0.10794361405074597,0.002
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_18,level_3,500,0.008,0.1042072669044137,0.004
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_18,level_4,500,0.006,0.10922785092145204,0.006
SigLIP Base P16 224,siglip_base_p16_224,native_cure_or,native_challenge_type_18,level_5,500,0.006,0.0955435200482607,0.006
